Recipe Public Food Key,Food Name,Total Weight Change (%),Public Food Key,Ingredient Weight (g),Retention Factor ID
F003723,"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",-2.0,F003724,100.0,105
F003732,"Egg, chicken, whole, scrambled, with regular fat cows milk, no fat added",-10.0,F003729,102.0,103
F003732,"Egg, chicken, whole, scrambled, with regular fat cows milk, no fat added",-10.0,F006618,0.2,0
F003732,"Egg, chicken, whole, scrambled, with regular fat cows milk, no fat added",-10.0,F005634,45.0,2151
F000110,"Apple, red skin, unpeeled, raw",0.0,F000086,2.5,0
F000110,"Apple, red skin, unpeeled, raw",0.0,F000091,10.0,0
F000110,"Apple, red skin, unpeeled, raw",0.0,F000099,2.5,0
F000110,"Apple, red skin, unpeeled, raw",0.0,F000105,60.0,0
F000110,"Apple, red skin, unpeeled, raw",0.0,F000107,10.0,0
F000110,"Apple, red skin, unpeeled, raw",0.0,F000111,15.0,0
F000122,"Apricot, canned in pear juice",0.0,F000123,59.0,0
F000122,"Apricot, canned in pear juice",0.0,F000124,41.0,0
F001289,"Blueberry, purchased frozen",-2.7,F001290,100.0,156
F002513,"Cherry, black, canned in syrup",0.0,F002517,46.0,0
F002513,"Cherry, black, canned in syrup",0.0,F002514,54.0,0
F004141,"Fruit salad, canned in fruit juice",0.0,F004143,42.0,0
F004141,"Fruit salad, canned in fruit juice",0.0,F004142,58.0,0
F005175,"Lemon, preserved",0.0,F005174,396.0,0
F005175,"Lemon, preserved",0.0,F005172,204.0,0
F005175,"Lemon, preserved",0.0,F007879,145.0,0
F005175,"Lemon, preserved",0.0,F004726,500.0,0
F005288,"Mandarin, canned in syrup",0.0,F005292,43.0,0
F005288,"Mandarin, canned in syrup",0.0,F005289,57.0,0
F005300,"Mango, pulped, canned",0.0,F005299,100.0,154
F005300,"Mango, pulped, canned",0.0,F008976,2.0,0
F005300,"Mango, pulped, canned",0.0,F009527,2.0,0
F005712,Mixed dried fruit,0.0,F005172,8.0,158
F005712,Mixed dried fruit,0.0,F004219,5.0,0
F005712,Mixed dried fruit,0.0,F008976,20.0,0
F005712,Mixed dried fruit,0.0,F006156,0.6,0
F005712,Mixed dried fruit,0.0,F008983,100.0,0
F005712,Mixed dried fruit,0.0,F007610,50.0,0
F005712,Mixed dried fruit,0.0,F003331,50.0,0
